Open Box: MSI VR ONE 6RD-007US Gaming Laptop Intel Core i7 6th Gen 6820HK (2.70 GHz) 16 GB Memory 256 GB SSD NVIDIA GeForce GTX 1060 6 GB GDDR5 Windows 10 Pro (VR Ready),Model #: VR ONE 6RD-007US,"$1,649.00"
"Open Box: ASUS GX700VO-VS74K 17.3"" Intel Core i7 6th Gen 6820HK (2.70 GHz) NVIDIA GeForce GTX 980 64 GB DDR4 Memory 1 TB SSD Windows 10 Home 64-Bit Gaming Laptop",Model #: GX700VO-VS74K,"$4,999.00"
"Open Box: MSI GT72S Dominator Pro G-041 17.3"" Intel Core i7 6th Gen 6920HQ (2.90 GHz) NVIDIA GeForce GTX 980 32 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home Gaming Laptop",Model #: GT72S Dominator Pro G-041,"$3,499.00"
"Refurbished: Acer PH317-51-70A1 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: PH317-51-70A1,$929.99
"Refurbished: Acer AN515-51-504A 15.6"" IPS Intel Core i5 7th Gen 7300HQ (2.50 GHz) NVIDIA GeForce GTX 1050 Ti 16 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop",Model #: AN515-51-504A,$715.99
"Refurbished: HP Factory Recertified HP Pavilion 15-CB077CL 15.6"" IPS Intel Core i5 7th Gen 7200U (2.50 GHz) NVIDIA GeForce GTX 1050 12 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: 15-CB077CL,$689.99
"Refurbished: MSI GL62M 7RDX-1646 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 8 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop",Model #: GL62M 7RDX-1646,$829.99
"Refurbished: ASUS GL703VD-DB74 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: GL703VD-DB74,$999.99
"Refurbished: Acer PT715-51-732Q 15.6"" 120 Hz Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1080 32 GB Memory 512 GB SSD (2 x 256 GB in raid 0) SSD Windows 10 Home 64-Bit Gaming Laptop",Model #: PT715-51-732Q,"$2,191.73"
"Refurbished: Acer AN515-51-70V4 15.6"" IPS Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 Ti 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: AN515-51-70V4,$859.60
"Refurbished: HP 15-CE019DX 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 Ti 8 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: 15-CE019DX,$899.99
"Refurbished: ASUS G701VO-IH74K 17.3"" Intel Core i7 6th Gen 6820HK (2.70 GHz) NVIDIA GeForce GTX 980M 32 GB DDR4 Memory 512 GB SSD Gaming Laptop",Model #: G701VO-IH74K,"$1,216.19"
"Refurbished: DELL Factory Recertified Alienware 15 R3 15.6"" 120 Hz Intel Core i7 7th Gen 7820HK (2.90 GHz) NVIDIA GeForce GTX 1070 32 GB Memory 512 GB PCIe SSD 1 TB HDD Windows 10 Pro 64-Bit Gaming Laptop",Model #: 15 R3,"$2,599.99"
"Refurbished: MSI GP62MVRX Leopard Pro-034 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: GP62MVRX Leopard Pro-034,"$1,549.99"
"Refurbished: DELL Factory Recertified Alienware 15 R3 15.6"" IPS Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB PCIe SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: 15 R3,"$1,999.99"
"Refurbished: MSI GS73VR Stealth Pro-225 17.3"" 120 Hz Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB SSD 2 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: GS73VR Stealth Pro-225,"$1,962.96"
"Refurbished: MSI GS60 GHOST PRO-064 15.6"" Intel Core i7 4th Gen 4710HQ (2.50 GHz) NVIDIA GeForce GTX 970M 16 GB Memory 128 GB SSD 1 TB HDD Windows 8.1 Gaming Laptop",Model #: GS60 GHOST PRO-064,"$1,199.99"
"Refurbished: Acer Predator 17.3"" Intel Core i7 2.80GHz 32GB Ram 2TB HDD 256GH SSD WIN10HOME",Model #: NH.Q1UAA.001,"$1,811.53"
"Refurbished: Acer Predator G9-592-73BR 15.6"" Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 980M 32 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop (Manufacturer Recertified)",Model #: G9-592-73BR,"$1,556.64"
"Refurbished: Acer AN515-51-55WL 15.6"" IPS Intel Core i5 7th Gen 7300HQ (2.50 GHz) NVIDIA GeForce GTX 1050 Ti 8 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop",Model #: ,$541.65
"Refurbished: MSI GL72 7RD-028 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 16 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: GL72 7RD-028,$999.99
"Refurbished: MSI GS73VR 6RF Stealth Pro 17.3"" 4K/UHD Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB M.2 SATA SSD Windows 10 Home Gaming Laptop",Model #: GS73VR 6RF Stealth Pro,"$1,458.81"
"Refurbished: ASUS G701VI-XS72K 17.3"" Intel Core i7 7th Gen 7820HK (2.90 GHz) NVIDIA GeForce GTX 1080 32 GB Memory 512 GB SSD Windows 10 Pro 64-Bit Gaming Laptop",Model #: ,"$1,999.99"
"Open Box: MSI GS63VR Stealth Pro-001 15.6"" Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",Model #: GS63VR Stealth Pro-001,$989.99
"Open Box: Asus ROG Strix GL703VM SCAR Edition (FPS) Gaming Laptop17.3” 120Hz , GTX 1060 6GB, Core i7-7700HQ 2.8 GHz CPU, 16GB DDR4 RAM, NVMe 256GB PCIe SSD + 1TB FireCuda SSHD",Model #: GL703VM-DB74,"$1,349.00"
"Open Box: GIGABYTE Aero 15X-BK4 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 512 GB SSD Windows 10 Home 64-Bit Gaming Laptop",Model #: Aero 15X-BK4,"$1,980.00"
"Open Box: ASUS ROG Zephyrus GX501VS-XS71 15.6"" Full-HD 120 Hz Ultra-portable Gaming Laptop, GeForce GTX 1070, Max-Q Design, VR Ready Intel Core i7, 256 GB PCIe SSD, 16 GB DDR4, Windows 10 Pro 64-Bit",Model #: GX501VS-XS71,"$1,678.00"
"Open Box: ASUS FX503VD 15.6"" FHD Powerful Gaming Laptop, Intel Core i5-7300HQ 2.5 GHz Processor, GeForce GTX 1050, 1 TB SSHD, 8 GB DDR4, Windows 10 Home",Model #: FX503VD-WH51,$697.00
