"Refurbished: HP F7W49UA-B Chromebook Intel Celeron 2955U (1.40 GHz) 4 GB Memory 16 GB SSD 14.0"" Chrome OS",Model #: F7W49UA-B,$112.73
"Refurbished: Acer Chromebook 15 CB3-532-C4ZZ Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB LPDDR3 Memory 32 GB Internal Storage SSD 15.6"" Chrome OS",Model #: CB3-532-C4ZZ,$188.99
"Refurbished: HP 11-1101 Chromebook Samsung Exynos 5250 (1.70 GHz) 2 GB Memory 16 GB Flash 11.6"" Chrome OS",Model #: 11-1101,$99.99
"Refurbished: Acer CB3-532-C3F7-US Chromebook Intel Celeron N3060 (1.60 GHz) 2 GB LPDDR3 Memory 16 GB Flash SSD 15.6"" Chrome OS",Model #: CB3-532-C3F7-US,$156.71
"Refurbished: Acer Spin 11 NX.GNJAA.002 Chromebook Intel Celeron 1.10 GHz 4 GB Memory 32 GB Flash SSD 11.6"" Chrome OS (Manufacturer Recertified)",Model #: NX.GNJAA.002,$291.80
"Refurbished: HP x360 11-ae010nr Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB Memory 16 GB SSD 11.6"" Touchscreen Chrome OS",Model #: x360 11-ae010nr,$172.24
"Refurbished: Acer NX.MPRAA.013.NW Chromebook NVIDIA Tegra K1 2.10 GHz 2 GB Memory 16 GB Flash 13.3"" Chrome OS (New Open Box)",Model #: NX.MPRAA.013.NW,$153.99
"Refurbished: Acer R751T-C4XP Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB Memory 32 GB eMMC SSD 11.6"" Touchscreen Chrome OS",Model #: R751T-C4XP,$266.99
"Refurbished: Acer C731-C8VE Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB Flash SSD 11.6"" Chrome OS",Model #: C731-C8VE,$159.69
"Refurbished: HP 11-V010NR Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB Flash 11.6"" Chrome OS (Certified Refurbished, Grade A)",Model #: 11-V010NR,$149.94
"Refurbished: Acer Chromebook 11 CB3-132-C9M7 Chromebook Intel Celeron N3060 (1.60 GHz) 2 GB Memory 16 GB Flash SSD 11.6"" Chrome OS",Model #: CB3-132-C9M7,$169.99
"Refurbished: Acer NX.G85AA.001.NW Chromebook Intel Celeron 2.16 GHz 2 GB Memory 16 GB Flash 11.6"" Chrome OS (New Open Box)",Model #: NX.G85AA.001.NW,$173.99
"Refurbished: Acer Chromebook 11 C732-C6WU Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 32 GB Flash SSD 11.6""  Chrome OS",Model #: C732-C6WU,$274.99
"Refurbished: Acer Chromebook Spin 11 CP311-1HN-C2DV Chromebook Intel Celeron N3350 (1.1 GHz) 4 GB LPDDR4 Memory 32 GB Flash SSD 11.6"" Touchscreen Chrome OS",Model #: CP311-1HN-C2DV,$339.99
"Refurbished: Acer 11.6"" Intel Core Celeron 1.1GHz 4GB Ram 32GB Flash ChromeOS|CP511-1HN-C7Q1",Model #: CP511-1HN-C7Q1,$274.99
"Refurbished: Acer 11.6"" Intel Core Celeron 1.60 GHz 4 GB Ram 32 GB Flash Chrome OS|C771-C4TM",Model #: C771-C4TM,$219.99
"Refurbished: Acer Chromebook 11.6"" Intel Celeron N3060 1.60 GHz 4GB Ram 32GB Flash Chrome OS",Model #: C731T-C0X8,$225.39
"Refurbished: Acer 11.6"" Intel Core Celeron 1.60 GHz 4 GB Ram 32GB Flash Chrome OS|C738T-C7KD",Model #: C738T-C7KD,$255.33
"Refurbished: Acer NX.G85AA.006.NW Chromebook Intel Celeron 2.16 GHz 2 GB Memory 16 GB SSD 11.6"" Chrome OS (New Open Box)",Model #: NX.G85AA.006.NW,$173.99
"Refurbished: Acer Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 32 GB SSD 11.6"" Touchscreen Chrome OS (Manufacturer Recertified)",Model #: ,$176.17
"Open Box: ASUS C100 C100PA-DB02 Chromebook Rockchip RK3288-C (1.80 GHz) 4 GB Memory 16 GB eMMC 10.1"" Touchscreen Chrome OS",Model #: C100PA-DB02,$207.99
"Open Box: HP F7W49UA-B Chromebook Intel Celeron 2955U (1.40 GHz) 4 GB Memory 16 GB SSD 14.0"" Chrome OS",Model #: F7W49UA-B,$84.99
"Open Box: HP F7W49UA-A Chromebook Intel Celeron 2955U (1.40 GHz) 4 GB Memory 16 GB SSD 14.0"" Chrome OS",Model #: F7W49UA-A,$74.99
"Open Box: Acer CB3-532-C47C Chromebook Intel Celeron N3060 (1.60 GHz) 2 GB Memory 16 GB Flash 15.6""  Chrome OS (Manufacturer Recertified)",Model #: CB3-532-C47C,$110.99
"Open Box: Samsung XE303C12-A01US Samsung Exynos 5250 1.7 GHz 2 GB 16 GB SSD 11.6"", Silver, Grade C",Model #: XE303C12-A01US,$74.00
"Open Box: SAMSUNG XE500C21-AZ2FR Chromebook Intel Atom N570 (1.66 GHz) 2 GB Memory 16 GB SSD 12.1"" Chrome OS",Model #: XE500C21-AZ2FR,$101.99
"HP Chromebook 13 G1 13.3"" (BrightView, In-plane Switching (IPS) Technology) Chromebook - Intel Core M (6th Gen) m7-6Y75 Chrome OS",Model #: W0T02UT#ABA,"$1,042.80"
"Refurbished: Acer CB3-431-C5FM Chromebook Intel Celeron N3160 (1.60 GHz) 4 GB LPDDR3 Memory 32 GB Flash 14.0"" Chrome OS (Manufacturer Recertified)",Model #: CB3-431-C5FM,$176.97
"Refurbished: Lenovo X131E C Grade Chromebook Intel Celeron 1007U (1.5 GHz) 4 GB Memory 16 GB SSD 11.6"" Chrome OS",Model #: X131E,$61.64
"Refurbished: Lenovo X131E B Grade Chromebook Intel Celeron 1007U (1.5 GHz) 4 GB Memory 16 GB SSD 11.6"" Chrome OS",Model #: X131E,$76.18
"Refurbished: Acer C720P-2625 Chromebook Intel Celeron 2955U (1.40 GHz) 4 GB Memory 16 GB SSD 11.6"" Touchscreen Chrome OS",Model #: C720P-2625,$154.99
