"DELL Laptop XPS 13 FJ7FF Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB PCIe SSD Intel UHD Graphics 620 13.3"" Touchscreen Windows 10 Pro 64-Bit",Model #: FJ7FF,"$2,008.99 (2 Offers)"
"HP Laptop ProBook 650 G2 (W2A17UT#ABA) Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 15.6"" Windows 7 Professional 64-Bit / Windows 10 Pro Downgrade",Model #: 650 G2 (W2A17UT#ABA),"$1,042.99"
"DELL 14"" I5 7200U 8GB 500GB",Model #: s043l548014us,$827.81
"Dell Latitude 5000 5480 14"" LCD Notebook - Intel Core i5 (7th Gen) i5-7440HQ Quad-core (4 Core) 2.80 GHz - 8 GB DDR4 SDRAM - 500 GB HDD - Windows 10 Pro 64-bit (English/French/Spanish) - 1920 x 1",Model #: MRVX8,"$1,309.55"
"DELL Laptop Latitude 7480 (4HCNK) Intel Core i5 7th Gen 7300U (2.60 GHz) 8 GB Memory 256 GB HDD 256 GB SSD Intel HD Graphics 620 14.0"" Touchscreen Windows 10 Pro 64-Bit",Model #: 7480 (4HCNK),"$1,483.81"
"HP EliteBook 840 G3 (V1H25UT#ABA) Laptop Intel Core i7 6600U (2.60 GHz) 8 GB Memory 512 GB SSD Intel HD Graphics 520 14"" QHD UWVA 2560 x 1440 Windows 7 Professional 64-Bit (Windows 10 Pro downgrade)",Model #: 840 G3 (V1H25UT#ABA),"$1,880.99"
"Lenovo 20K6000RUS Thinkpad X270 20K6 - Core I7 6500U / 2.5 Ghz - Win 7 Pro 64-Bit (Includes Win 10 Pro 64-Bit License) - 8 Gb Ram - 512 Gb Ssd Tcg Opal Encryption 2, Nvm Express (Nvme) - 12.5 Inch Ip",Model #: 20K6000RUS,"$1,766.80"
"HP EliteBook 840 G3 Laptop Intel Core i5 6300U (2.40 GHz) 8 GB Memory 128 GB SSD Intel HD Graphics 520 14"" FHD 1920 x 1080 Windows 7 Professional 64-Bit",Model #: 840 G3 (T6F45UT#ABA),"$1,199.99"
"HP Laptop EliteBook 820 G3 (V1G98UT#ABA) Intel Core i5 6th Gen 6200U (2.30 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 520 12.5"" Windows 7 Professional 64-Bit (Downgrade rights from Windows 10 Pro)",Model #: 820 G3 (V1G98UT#ABA),"$1,049.99"
"HP Laptop EliteBook 820 G3 (V1H02UT#ABA) Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 12.5"" Windows 7 Professional 64-Bit (with Windows 10 Pro License)",Model #: 820 G3 (V1H02UT#ABA),"$1,549.00"
"HP EliteBook 820 G4 - 12.5"" - Core i7 7500U - 16 GB RAM - 256 GB SSD",Model #: 1FX41UT#ABA,"$1,799.99"
"HP EliteBook 850 G4 - 15.6"" - Core i7 7500U - 8 GB RAM - 256 GB SSD",Model #: 1BS52UT#ABA,"$1,699.99"
"DELL 12.5"" I5 7300U 4GB 128GB",Model #: s002l728012us,$998.55
"DELL 15"" I5 7440H 8GB 500GB",Model #: s005l558015us,"$1,145.67"
"HP Laptop EliteBook 840 G4 (1GE39UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 620 14.0"" Windows 10 Pro 64-Bit",Model #: 840 G4 (1GE39UT#ABA),$929.00
"Lenovo Laptop ThinkPad E570 (20H50045US) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 620 15.6"" Windows 10 Pro 64-Bit",Model #: E570 (20H50045US),$629.99
"HP Laptop ProBook 430 G5 (3BB80UP#ABA) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 128 GB SSD Intel UHD Graphics 620 13.3"" Windows 10 Pro 64-Bit",Model #: 430 G5 (3BB80UP#ABA),$549.99 (2 Offers)
"Lenovo Laptop V330 (81AX00BWUS) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 500 GB HDD Intel HD Graphics 620 15.6"" Windows 10 Pro 64-Bit",Model #: V330 (81AX00BWUS),$499.99
"GIGABYTE Aero 15X v8-BK4K4P Thin Bezel 15.6"" 4K/UHD  i7-8750H GTX 1070 16 GB Memory 512 GB PCIe SSD Windows 10 Pro 64-Bit Gaming Laptop",Model #: Aero 15X v8-BK4K4P,"$2,499.00 (2 Offers)"
"Lenovo Laptop V330 (81AX00H6US) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 1 TB HDD Intel HD Graphics 620 15.6"" Touchscreen Windows 10 Pro 64-Bit",Model #: V330 (81AX00H6US),$499.99
"Lenovo Laptop ThinkPad E580 (20KS003WUS) Intel Core i5 7th Gen 7200U (2.50 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 620 15.6"" Windows 10 Pro 64-Bit",Model #: E580 (20KS003WUS),$578.36
"Lenovo ThinkPad P52 20M9000KUS 15.6"" LCD Mobile Workstation - Intel Core i7 (8th Gen) i7-8750H Hexa-core (6 Core) 2.20 GHz - 8 GB - 1 TB HDD - Windows 10 Pro 64-bit (English) - 1920 x 1080 - NVID",Model #: 20M9000KUS,"$1,621.99"
"HP Laptop ProBook 470 G5 (2UA28UT#ABA) Intel Core i7 8th Gen 8550U (1.80 GHz) 16 GB Memory 256 GB SSD NVIDIA GeForce 930MX 17.3"" Windows 10 Pro 64-Bit",Model #: 470 G5 (2UA28UT#ABA),$999.99
"Lenovo Laptop ThinkPad E480 (20KN003XUS) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 14.0"" Windows 10 Pro 64-Bit",Model #: E480 (20KN003XUS),$789.99
"ASUS ZenBook S UX391UA-XB74T Ultra-thin and light 13.3-inch UHD 4K Touch Laptop, Intel Core i7-8550U, 16 GB 2133 MHz RAM ,512 GB PCIE G3X4 SSD, Windows 10 Pro, FP Sensor, Thunderbolt Ultrabook",Model #: UX391UA-XB74T,"$1,495.91"
"Lenovo Laptop V330 (81AX00GGUS) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 620 15.6"" Windows 10 Pro 64-Bit",Model #: V330 (81AX00GGUS),$529.99
"Lenovo Laptop ThinkPad T480 (20L5004HUS) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 500 GB HDD Intel UHD Graphics 620 14.0"" Windows 10 Pro 64-Bit",Model #: T480 (20L5004HUS),$881.38
"Lenovo Laptop ThinkPad P52 Intel Xeon E-2176M (2.70 GHz) 16 GB Memory 512 GB SSD NVIDIA Quadro P2000 15.6"" Windows 10 Pro 64-bit",Model #: ThinkPad P52,"$2,356.99"
"Lenovo Laptop ThinkPad E580 (20KS003NUS) Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB PCIe SSD Intel UHD Graphics 620 15.6"" Windows 10 Pro 64-Bit",Model #: E580 (20KS003NUS),$989.00
"HP Laptop ProBook 450 G5 (2TA31UT#ABA) Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB PCIe NVMe SSD NVIDIA GeForce 930MX 15.6"" Windows 10 Pro 64-Bit",Model #: 450 G5 (2TA31UT#ABA),$929.00
"ASUSPRO P5440UF-XB74 Thin and Light Business Laptop, 14"" Wideview FHD Display, 8th Gen Intel Core i7-8550U 1.8 GHz Processor, 512 GB SSD, 16 GB RAM, NVIDIA GeForce MX130, Windows 10 Pro, Fingerprint",Model #: P5440UF-XB74,"$1,287.04"
"MSI Laptop PS42 8RB-059 Intel Core i7 8th Gen 8550U (1.80 GHz) 16 GB Memory 512 GB M.2 SATA SSD NVIDIA GeForce MX150 14.0"" Windows 10 Pro 64-Bit",Model #: PS42 8RB-059,"$1,299.00"
"HP Laptop ProBook 440 G5 (2SU16UT#ABA) Intel Core i7 8th Gen 8550U (1.80 GHz) 8 GB Memory 256 GB PCIe NVMe SSD Intel UHD Graphics 620 14.0"" Windows 10 Pro 64-Bit",Model #: 440 G5 (2SU16UT#ABA),$899.99
"Lenovo Laptop ThinkPad 11e (20LQS00000) Intel Celeron N4100 (1.10 GHz) 4 GB Memory 128 GB SSD Intel UHD Graphics 600 11.6"" Windows 10 Pro 64-Bit",Model #: 11e (20LQS00000),$395.14
