,title,model,price
88,Open Box: MSI VR ONE 6RD-007US Gaming Laptop Intel Core i7 6th Gen 6820HK (2.70 GHz) 16 GB Memory 256 GB SSD NVIDIA GeForce GTX 1060 6 GB GDDR5 Windows 10 Pro (VR Ready),VR ONE 6RD-007US,"$1,649.00 "
89,"Open Box: ASUS GX700VO-VS74K 17.3"" Intel Core i7 6th Gen 6820HK (2.70 GHz) NVIDIA GeForce GTX 980 64 GB DDR4 Memory 1 TB SSD Windows 10 Home 64-Bit Gaming Laptop",GX700VO-VS74K,"$4,999.00 "
90,"Open Box: MSI GT72S Dominator Pro G-041 17.3"" Intel Core i7 6th Gen 6920HQ (2.90 GHz) NVIDIA GeForce GTX 980 32 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home Gaming Laptop",GT72S Dominator Pro G-041,"$3,499.00 "
91,"Refurbished: Acer PH317-51-70A1 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",PH317-51-70A1,$929.99 
92,"Refurbished: Acer AN515-51-504A 15.6"" IPS Intel Core i5 7th Gen 7300HQ (2.50 GHz) NVIDIA GeForce GTX 1050 Ti 16 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop",AN515-51-504A,$715.99 
93,"Refurbished: HP Factory Recertified HP Pavilion 15-CB077CL 15.6"" IPS Intel Core i5 7th Gen 7200U (2.50 GHz) NVIDIA GeForce GTX 1050 12 GB Memory 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",15-CB077CL,$689.99 
94,"Refurbished: MSI GL62M 7RDX-1646 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 8 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop",GL62M 7RDX-1646,$829.99 
95,"Refurbished: ASUS GL703VD-DB74 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GL703VD-DB74,$999.99 
96,"Refurbished: Acer PT715-51-732Q 15.6"" 120 Hz Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1080 32 GB Memory 512 GB SSD (2 x 256 GB in raid 0) SSD Windows 10 Home 64-Bit Gaming Laptop",PT715-51-732Q,"$2,191.73 "
97,"Refurbished: Acer AN515-51-70V4 15.6"" IPS Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 Ti 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",AN515-51-70V4,$859.60 
98,"Refurbished: HP 15-CE019DX 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 Ti 8 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",15-CE019DX,$899.99 
99,"Refurbished: ASUS G701VO-IH74K 17.3"" Intel Core i7 6th Gen 6820HK (2.70 GHz) NVIDIA GeForce GTX 980M 32 GB DDR4 Memory 512 GB SSD Gaming Laptop",G701VO-IH74K,"$1,216.19 "
100,"Refurbished: DELL Factory Recertified Alienware 15 R3 15.6"" 120 Hz Intel Core i7 7th Gen 7820HK (2.90 GHz) NVIDIA GeForce GTX 1070 32 GB Memory 512 GB PCIe SSD 1 TB HDD Windows 10 Pro 64-Bit Gaming Laptop",15 R3,"$2,599.99 "
101,"Refurbished: MSI GP62MVRX Leopard Pro-034 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GP62MVRX Leopard Pro-034,"$1,549.99 "
102,"Refurbished: DELL Factory Recertified Alienware 15 R3 15.6"" IPS Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB PCIe SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",15 R3,"$1,999.99 "
103,"Refurbished: MSI GS73VR Stealth Pro-225 17.3"" 120 Hz Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB SSD 2 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GS73VR Stealth Pro-225,"$1,962.96 "
104,"Refurbished: MSI GS60 GHOST PRO-064 15.6"" Intel Core i7 4th Gen 4710HQ (2.50 GHz) NVIDIA GeForce GTX 970M 16 GB Memory 128 GB SSD 1 TB HDD Windows 8.1 Gaming Laptop",GS60 GHOST PRO-064,"$1,199.99 "
105,"Refurbished: Acer Predator 17.3"" Intel Core i7 2.80GHz 32GB Ram 2TB HDD 256GH SSD WIN10HOME",NH.Q1UAA.001,"$1,811.53 "
106,"Refurbished: Acer Predator G9-592-73BR 15.6"" Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 980M 32 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop (Manufacturer Recertified)",G9-592-73BR,"$1,556.64 "
107,"Refurbished: Acer AN515-51-55WL 15.6"" IPS Intel Core i5 7th Gen 7300HQ (2.50 GHz) NVIDIA GeForce GTX 1050 Ti 8 GB Memory 256 GB SSD Windows 10 Home 64-Bit Gaming Laptop",,$541.65 
108,"Refurbished: MSI GL72 7RD-028 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 16 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GL72 7RD-028,$999.99 
109,"Refurbished: MSI GS73VR 6RF Stealth Pro 17.3"" 4K/UHD Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB M.2 SATA SSD Windows 10 Home Gaming Laptop",GS73VR 6RF Stealth Pro,"$1,458.81 "
110,"Refurbished: ASUS G701VI-XS72K 17.3"" Intel Core i7 7th Gen 7820HK (2.90 GHz) NVIDIA GeForce GTX 1080 32 GB Memory 512 GB SSD Windows 10 Pro 64-Bit Gaming Laptop",,"$1,999.99 "
111,"Open Box: MSI GS63VR Stealth Pro-001 15.6"" Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GS63VR Stealth Pro-001,$989.99 
112,"Open Box: Asus ROG Strix GL703VM SCAR Edition (FPS) Gaming Laptop17.3â€?120Hz , GTX 1060 6GB, Core i7-7700HQ 2.8 GHz CPU, 16GB DDR4 RAM, NVMe 256GB PCIe SSD + 1TB FireCuda SSHD",GL703VM-DB74,"$1,349.00 "
113,"Open Box: GIGABYTE Aero 15X-BK4 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 512 GB SSD Windows 10 Home 64-Bit Gaming Laptop",Aero 15X-BK4,"$1,980.00 "
114,"Open Box: ASUS ROG Zephyrus GX501VS-XS71 15.6"" Full-HD 120 Hz Ultra-portable Gaming Laptop, GeForce GTX 1070, Max-Q Design, VR Ready Intel Core i7, 256 GB PCIe SSD, 16 GB DDR4, Windows 10 Pro 64-Bit",GX501VS-XS71,"$1,678.00 "
115,"Open Box: ASUS FX503VD 15.6"" FHD Powerful Gaming Laptop, Intel Core i5-7300HQ 2.5 GHz Processor, GeForce GTX 1050, 1 TB SSHD, 8 GB DDR4, Windows 10 Home",FX503VD-WH51,$697.00 
116,"Open Box: ASUS ROG Zephyrus GX501VI-XS74 15.6"" FHD 120 Hz Ultra-portable Intel Core i7 7th Gen 7700HQ 2.8 GHz GeForce GTX 1080 VR Ready 8 GB GDDR5X 512 GB PCIe SSD 16 GB DDR4 Memory Windows 10 Pro Gaming Laptop",GX501VI-XS74,"$2,299.00 "
117,"Open Box: MSI GT75VR TITAN SLI 4K-028 17.3"" 4K/UHD IPS Intel Core i7 7th Gen 7820HK (2.90 GHz) NVIDIA GeForce GTX 1070 SLI 32 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",GT75VR TITAN SLI 4K-028,"$2,949.00 "
118,"Open Box: MSI GL62VR-NE1060 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 VR Ready 16 GB Memory 512 GB M.2 SATA SSD Windows 10 Home 64-Bit Gaming Laptop -- ONLY @ NEWEGG",GL62VR-NE1060,"$1,020.00 "
119,"Open Box: ASUS FX503VM 15.6"" FHD Powerful Gaming Laptop, Intel Core i7-7700HQ Quad-Core 2.8 GHz Processor, GeForce GTX 1060, 128 GB SSD + 1 TB HDD, 16 GB DDR4, Windows 10 Home",FX503VM-EH73,"$1,049.00 "
120,"Open Box: ASUS GL703VM-NH74 17.3"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop -- ONLY @ NEWEGG",GL703VM-NH74,"$1,199.00 "
